,Sequence_name,Prediction,probability
2653,|1|Training,Non-autophagy protein,52.73%
2654,|1|Training,Non-autophagy protein,87.42%
2655,|1|Training,Non-autophagy protein,86.45%
2656,|1|Training,Non-autophagy protein,55.24%
2657,|1|Training,Non-autophagy protein,99.31%
2658,|1|Training,Autophagy Protein,70.51%
2659,|1|Training,Non-autophagy protein,82.01%
2660,|1|Training,Non-autophagy protein,98.71%
2661,|1|Training,Non-autophagy protein,95.72%
2662,|1|Training,Non-autophagy protein,99.18%
2663,|1|Training,Non-autophagy protein,83.22%
2664,|1|Training,Non-autophagy protein,91.92%
2665,|1|Training,Non-autophagy protein,63.86%
2666,|1|Training,Non-autophagy protein,92.15%
2667,|1|Training,Non-autophagy protein,98.06%
2668,|1|Training,Non-autophagy protein,98.67%
2669,|1|Training,Non-autophagy protein,99.58%
2670,|1|Training,Non-autophagy protein,97.57%
2671,|1|Training,Non-autophagy protein,94.06%
2672,|1|Training,Autophagy Protein,58.02%
2673,|1|Training,Non-autophagy protein,98.06%
2674,|1|Training,Autophagy Protein,76.06%
2675,|1|Training,Non-autophagy protein,99.01%
2676,|1|Training,Non-autophagy protein,99.54%
2677,|1|Training,Autophagy Protein,67.83%
2678,|1|Training,Non-autophagy protein,95.06%
2679,|1|Training,Non-autophagy protein,99.42%
2680,|1|Training,Non-autophagy protein,99.13%
2681,|1|Training,Non-autophagy protein,91.01%
2682,|1|Training,Non-autophagy protein,98.82%
2683,|1|Training,Non-autophagy protein,98.69%
2684,|1|Training,Non-autophagy protein,99.43%
2685,|1|Training,Autophagy Protein,82.77%
2686,|1|Training,Non-autophagy protein,96.13%
2687,|1|Training,Autophagy Protein,89.68%
2688,|1|Training,Non-autophagy protein,99.56%
2689,|1|Training,Non-autophagy protein,99.75%
2690,|1|Training,Non-autophagy protein,99.58%
2691,|1|Training,Non-autophagy protein,99.41%
2692,|1|Training,Non-autophagy protein,99.27%
2693,|1|Training,Non-autophagy protein,98.05%
2694,|1|Training,Non-autophagy protein,97.77%
2695,|1|Training,Non-autophagy protein,97.90%
2696,|1|Training,Non-autophagy protein,98.65%
2697,|1|Training,Non-autophagy protein,98.68%
2698,|1|Training,Non-autophagy protein,61.18%
2699,|1|Training,Autophagy Protein,84.71%
2700,|1|Training,Non-autophagy protein,97.63%
2701,|1|Training,Non-autophagy protein,76.21%
2702,|1|Training,Autophagy Protein,63.91%
2703,|1|Training,Non-autophagy protein,82.73%
2704,|1|Training,Non-autophagy protein,95.90%
2705,|1|Training,Non-autophagy protein,96.42%
2706,|1|Training,Non-autophagy protein,98.70%
2707,|1|Training,Non-autophagy protein,98.72%
2708,|1|Training,Non-autophagy protein,61.67%
2709,|1|Training,Non-autophagy protein,95.73%
2710,|1|Training,Non-autophagy protein,92.03%
2711,|1|Training,Non-autophagy protein,99.61%
2712,|1|Training,Non-autophagy protein,90.39%
2713,|1|Training,Autophagy Protein,63.92%
2714,|1|Training,Non-autophagy protein,96.02%
2715,|1|Training,Non-autophagy protein,97.44%
2716,|1|Training,Non-autophagy protein,70.70%
2717,|1|Training,Non-autophagy protein,99.65%
2718,|1|Training,Non-autophagy protein,81.60%
2719,|1|Training,Non-autophagy protein,99.61%
2720,|1|Training,Non-autophagy protein,99.34%
2721,|1|Training,Non-autophagy protein,98.39%
2722,|1|Training,Non-autophagy protein,55.11%
2723,|1|Training,Non-autophagy protein,91.58%
2724,|1|Training,Non-autophagy protein,70.69%
2725,|1|Training,Autophagy Protein,84.51%
2726,|1|Training,Non-autophagy protein,98.00%
2727,|1|Training,Non-autophagy protein,67.93%
2728,|1|Training,Non-autophagy protein,81.22%
2729,|1|Training,Non-autophagy protein,95.96%
2730,|1|Training,Non-autophagy protein,99.05%
2731,|1|Training,Non-autophagy protein,99.57%
2732,|1|Training,Non-autophagy protein,98.48%
2733,|1|Training,Non-autophagy protein,99.00%
2734,|1|Training,Non-autophagy protein,96.27%
2735,|1|Training,Non-autophagy protein,98.96%
2736,|1|Training,Non-autophagy protein,97.19%
2737,|1|Training,Non-autophagy protein,59.50%
2738,|1|Training,Non-autophagy protein,99.81%
2739,|1|Training,Non-autophagy protein,99.51%
2740,|1|Training,Non-autophagy protein,99.61%
2741,|1|Training,Non-autophagy protein,99.80%
2742,|1|Training,Non-autophagy protein,98.81%
2743,|1|Training,Non-autophagy protein,97.11%
2744,|1|Training,Non-autophagy protein,51.04%
2745,|1|Training,Non-autophagy protein,95.96%
2746,|1|Training,Non-autophagy protein,98.12%
2747,|1|Training,Non-autophagy protein,92.25%
2748,|1|Training,Autophagy Protein,97.17%
2749,|1|Training,Non-autophagy protein,97.18%
2750,|1|Training,Autophagy Protein,96.68%
2751,|1|Training,Non-autophagy protein,96.81%
2752,|1|Training,Non-autophagy protein,81.69%
2753,|1|Training,Non-autophagy protein,58.99%
2754,|1|Training,Autophagy Protein,56.95%
2755,|1|Training,Non-autophagy protein,92.77%
2756,|1|Training,Non-autophagy protein,94.54%
2757,|1|Training,Non-autophagy protein,88.49%
2758,|1|Training,Non-autophagy protein,90.36%
2759,|1|Training,Non-autophagy protein,98.47%
2760,|1|Training,Non-autophagy protein,76.65%
2761,|1|Training,Non-autophagy protein,99.77%
2762,|1|Training,Non-autophagy protein,99.69%
2763,|1|Training,Non-autophagy protein,99.66%
2764,|1|Training,Non-autophagy protein,99.64%
2765,|1|Training,Non-autophagy protein,99.48%
2766,|1|Training,Non-autophagy protein,91.85%
2767,|1|Training,Non-autophagy protein,71.67%
2768,|1|Training,Non-autophagy protein,55.46%
2769,|1|Training,Non-autophagy protein,89.22%
2770,|1|Training,Non-autophagy protein,99.74%
2771,|1|Training,Non-autophagy protein,97.73%
2772,|1|Training,Non-autophagy protein,65.10%
2773,|1|Training,Non-autophagy protein,80.81%
2774,|1|Training,Non-autophagy protein,92.35%
2775,|1|Training,Non-autophagy protein,99.87%
2776,|1|Training,Non-autophagy protein,98.97%
2777,|1|Training,Non-autophagy protein,89.67%
2778,|1|Training,Non-autophagy protein,78.40%
2779,|1|Training,Non-autophagy protein,95.24%
2780,|1|Training,Autophagy Protein,88.56%
2781,|1|Training,Autophagy Protein,75.85%
2782,|1|Training,Non-autophagy protein,91.41%
2783,|1|Training,Non-autophagy protein,94.35%
2784,|1|Training,Non-autophagy protein,99.36%
2785,|1|Training,Non-autophagy protein,99.16%
2786,|1|Training,Non-autophagy protein,80.57%
2787,|1|Training,Non-autophagy protein,83.58%
2788,|1|Training,Non-autophagy protein,99.25%
2789,|1|Training,Non-autophagy protein,90.02%
2790,|1|Training,Non-autophagy protein,99.66%
2791,|1|Training,Non-autophagy protein,95.83%
2792,|1|Training,Autophagy Protein,76.71%
2793,|1|Training,Non-autophagy protein,68.79%
2794,|1|Training,Non-autophagy protein,84.75%
2795,|1|Training,Non-autophagy protein,95.62%
2796,|1|Training,Non-autophagy protein,94.77%
2797,|1|Training,Non-autophagy protein,87.70%
2798,|1|Training,Non-autophagy protein,98.20%
2799,|1|Training,Non-autophagy protein,72.02%
2800,|1|Training,Non-autophagy protein,81.31%
2801,|1|Training,Autophagy Protein,97.21%
2802,|1|Training,Non-autophagy protein,90.09%
2803,|1|Training,Non-autophagy protein,99.38%
2804,|1|Training,Autophagy Protein,90.39%
2805,|1|Training,Non-autophagy protein,95.43%
2806,|1|Training,Non-autophagy protein,58.50%
2807,|1|Training,Non-autophagy protein,94.74%
2808,|1|Training,Non-autophagy protein,97.02%
2809,|1|Training,Non-autophagy protein,98.18%
2810,|1|Training,Non-autophagy protein,92.73%
2811,|1|Training,Autophagy Protein,58.20%
2812,|1|Training,Non-autophagy protein,50.00%
2813,|1|Training,Non-autophagy protein,98.97%
2814,|1|Training,Non-autophagy protein,97.11%
2815,|1|Training,Non-autophagy protein,99.81%
2816,|1|Training,Non-autophagy protein,71.82%
2817,|1|Training,Non-autophagy protein,98.02%
2818,|1|Training,Autophagy Protein,56.68%
2819,|1|Training,Non-autophagy protein,99.47%
2820,|1|Training,Autophagy Protein,89.10%
2821,|1|Training,Non-autophagy protein,96.40%
2822,|1|Training,Non-autophagy protein,99.63%
2823,|1|Training,Non-autophagy protein,80.72%
2824,|1|Training,Non-autophagy protein,72.58%
2825,|1|Training,Non-autophagy protein,58.78%
2826,|1|Training,Non-autophagy protein,80.56%
2827,|1|Training,Non-autophagy protein,98.21%
2828,|1|Training,Non-autophagy protein,81.06%
2829,|1|Training,Non-autophagy protein,93.44%
2830,|1|Training,Non-autophagy protein,96.25%
2831,|1|Training,Autophagy Protein,89.27%
2832,|1|Training,Non-autophagy protein,98.93%
2833,|1|Training,Non-autophagy protein,89.76%
2834,|1|Training,Autophagy Protein,83.99%
2835,|1|Training,Non-autophagy protein,90.80%
2836,|1|Training,Non-autophagy protein,93.96%
2837,|1|Training,Autophagy Protein,97.48%
2838,|1|Training,Non-autophagy protein,60.72%
2839,|1|Training,Non-autophagy protein,93.91%
2840,|1|Training,Non-autophagy protein,95.61%
2841,|1|Training,Non-autophagy protein,78.86%
2842,|1|Training,Non-autophagy protein,99.55%
2843,|1|Training,Non-autophagy protein,93.94%
2844,|1|Training,Autophagy Protein,88.02%
2845,|1|Training,Non-autophagy protein,96.98%
2846,|1|Training,Non-autophagy protein,98.84%
2847,|1|Training,Non-autophagy protein,86.71%
2848,|1|Training,Autophagy Protein,80.98%
2849,|1|Training,Non-autophagy protein,57.91%
2850,|1|Training,Non-autophagy protein,98.11%
2851,|1|Training,Non-autophagy protein,92.29%
2852,|1|Training,Non-autophagy protein,99.85%
2853,|1|Training,Autophagy Protein,85.58%
2854,|1|Training,Non-autophagy protein,99.08%
2855,|1|Training,Autophagy Protein,67.05%
2856,|1|Training,Non-autophagy protein,99.69%
2857,|1|Training,Non-autophagy protein,97.87%
2858,|1|Training,Non-autophagy protein,79.26%
2859,|1|Training,Non-autophagy protein,98.04%
2860,|1|Training,Non-autophagy protein,87.89%
2861,|1|Training,Non-autophagy protein,90.77%
2862,|1|Training,Non-autophagy protein,68.85%
2863,|1|Training,Non-autophagy protein,97.27%
2864,|1|Training,Non-autophagy protein,72.83%
2865,|1|Training,Autophagy Protein,70.45%
2866,|1|Training,Non-autophagy protein,83.94%
2867,|1|Training,Non-autophagy protein,96.65%
2868,|1|Training,Non-autophagy protein,99.23%
2869,|1|Training,Non-autophagy protein,56.75%
2870,|1|Training,Non-autophagy protein,97.27%
2871,|1|Training,Non-autophagy protein,66.85%
2872,|1|Training,Non-autophagy protein,93.43%
2873,|1|Training,Non-autophagy protein,99.73%
2874,|1|Training,Non-autophagy protein,97.16%
2875,|1|Training,Non-autophagy protein,99.44%
2876,|1|Training,Non-autophagy protein,71.54%
2877,|1|Training,Non-autophagy protein,60.64%
2878,|1|Training,Non-autophagy protein,99.53%
2879,|1|Training,Non-autophagy protein,94.72%
2880,|1|Training,Non-autophagy protein,98.99%
2881,|1|Training,Non-autophagy protein,93.29%
2882,|1|Training,Non-autophagy protein,82.46%
2883,|1|Training,Autophagy Protein,95.75%
2884,|1|Training,Non-autophagy protein,94.48%
2885,|1|Training,Non-autophagy protein,91.07%
2886,|1|Training,Non-autophagy protein,52.46%
2887,|1|Training,Non-autophagy protein,99.18%
2888,|1|Training,Autophagy Protein,65.99%
2889,|1|Training,Non-autophagy protein,88.12%
2890,|1|Training,Non-autophagy protein,99.18%
2891,|1|Training,Non-autophagy protein,93.70%
2892,|1|Training,Non-autophagy protein,94.04%
2893,|1|Training,Non-autophagy protein,99.73%
2894,|1|Training,Non-autophagy protein,92.08%
2895,|1|Training,Non-autophagy protein,92.32%
2896,|1|Training,Non-autophagy protein,97.36%
2897,|1|Training,Non-autophagy protein,99.34%
2898,|1|Training,Non-autophagy protein,98.44%
2899,|1|Training,Non-autophagy protein,81.18%
2900,|1|Training,Non-autophagy protein,84.93%
2901,|1|Training,Non-autophagy protein,99.45%
2902,|1|Training,Autophagy Protein,67.60%
2903,|1|Training,Non-autophagy protein,72.72%
2904,|1|Training,Non-autophagy protein,81.16%
2905,|1|Training,Non-autophagy protein,69.61%
2906,|1|Training,Non-autophagy protein,60.98%
2907,|1|Training,Non-autophagy protein,95.12%
2908,|1|Training,Non-autophagy protein,54.10%
2909,|1|Training,Non-autophagy protein,86.37%
2910,|1|Training,Non-autophagy protein,92.24%
2911,|1|Training,Non-autophagy protein,99.16%
2912,|1|Training,Non-autophagy protein,90.80%
2913,|1|Training,Non-autophagy protein,98.17%
2914,|1|Training,Autophagy Protein,89.98%
2915,|1|Training,Non-autophagy protein,89.68%
2916,|1|Training,Non-autophagy protein,91.78%
2917,|1|Training,Non-autophagy protein,88.42%
2918,|1|Training,Non-autophagy protein,90.84%
2919,|1|Training,Non-autophagy protein,84.68%
2920,|1|Training,Non-autophagy protein,87.66%
2921,|1|Training,Non-autophagy protein,82.52%
2922,|1|Training,Non-autophagy protein,73.81%
2923,|1|Training,Non-autophagy protein,75.70%
2924,|1|Training,Non-autophagy protein,95.55%
2925,|1|Training,Non-autophagy protein,99.16%
2926,|1|Training,Non-autophagy protein,95.84%
2927,|1|Training,Non-autophagy protein,99.44%
2928,|1|Training,Non-autophagy protein,96.78%
2929,|1|Training,Non-autophagy protein,98.53%
2930,|1|Training,Non-autophagy protein,97.09%
2931,|1|Training,Non-autophagy protein,93.03%
2932,|1|Training,Non-autophagy protein,97.12%
2933,|1|Training,Autophagy Protein,61.55%
2934,|1|Training,Non-autophagy protein,55.47%
2935,|1|Training,Autophagy Protein,54.79%
2936,|1|Training,Non-autophagy protein,87.31%
2937,|1|Training,Non-autophagy protein,97.39%
2938,|1|Training,Non-autophagy protein,98.59%
2939,|1|Training,Non-autophagy protein,99.68%
2940,|1|Training,Non-autophagy protein,96.16%
2941,|1|Training,Autophagy Protein,67.78%
2942,|1|Training,Non-autophagy protein,61.53%
2943,|1|Training,Non-autophagy protein,89.04%
2944,|1|Training,Non-autophagy protein,98.18%
2945,|1|Training,Non-autophagy protein,96.78%
2946,|1|Training,Non-autophagy protein,96.82%
2947,|1|Training,Non-autophagy protein,68.15%
2948,|1|Training,Non-autophagy protein,99.45%
2949,|1|Training,Autophagy Protein,70.59%
2950,|1|Training,Non-autophagy protein,71.05%
2951,|1|Training,Autophagy Protein,82.88%
2952,|1|Training,Non-autophagy protein,99.64%
2953,|1|Training,Autophagy Protein,96.25%
2954,|1|Training,Autophagy Protein,53.35%
2955,|1|Training,Non-autophagy protein,99.37%
2956,|1|Training,Non-autophagy protein,83.70%
2957,|1|Training,Non-autophagy protein,97.19%
2958,|1|Training,Non-autophagy protein,98.01%
2959,|1|Training,Non-autophagy protein,91.51%
2960,|1|Training,Non-autophagy protein,99.59%
2961,|1|Training,Non-autophagy protein,55.12%
2962,|1|Training,Non-autophagy protein,97.19%
2963,|1|Training,Non-autophagy protein,95.06%
2964,|1|Training,Non-autophagy protein,99.64%
2965,|1|Training,Non-autophagy protein,85.92%
2966,|1|Training,Non-autophagy protein,96.89%
2967,|1|Training,Non-autophagy protein,99.28%
2968,|1|Training,Non-autophagy protein,96.70%
2969,|1|Training,Autophagy Protein,61.92%
2970,|1|Training,Non-autophagy protein,88.74%
2971,|1|Training,Non-autophagy protein,99.05%
2972,|1|Training,Non-autophagy protein,94.54%
2973,|1|Training,Non-autophagy protein,97.84%
2974,|1|Training,Non-autophagy protein,82.12%
2975,|1|Training,Non-autophagy protein,98.92%
2976,|1|Training,Non-autophagy protein,85.69%
2977,|1|Training,Non-autophagy protein,81.60%
2978,|1|Training,Non-autophagy protein,98.16%
2979,|1|Training,Non-autophagy protein,98.65%
2980,|1|Training,Non-autophagy protein,99.56%
2981,|1|Training,Non-autophagy protein,99.81%
2982,|1|Training,Non-autophagy protein,57.60%
2983,|1|Training,Non-autophagy protein,93.83%
2984,|1|Training,Autophagy Protein,64.03%
2985,|1|Training,Non-autophagy protein,73.00%
2986,|1|Training,Non-autophagy protein,92.78%
2987,|1|Training,Non-autophagy protein,99.78%
2988,|1|Training,Non-autophagy protein,88.86%
2989,|1|Training,Non-autophagy protein,99.65%
2990,|1|Training,Non-autophagy protein,99.56%
2991,|1|Training,Non-autophagy protein,95.38%
2992,|1|Training,Non-autophagy protein,97.15%
2993,|1|Training,Non-autophagy protein,90.62%
2994,|1|Training,Non-autophagy protein,93.81%
2995,|1|Training,Non-autophagy protein,99.72%
2996,|1|Training,Non-autophagy protein,96.88%
2997,|1|Training,Autophagy Protein,67.33%
2998,|1|Training,Non-autophagy protein,95.15%
2999,|1|Training,Non-autophagy protein,93.10%
3000,|1|Training,Non-autophagy protein,92.47%
3001,|1|Training,Non-autophagy protein,99.19%
3002,|1|Training,Non-autophagy protein,75.85%
3003,|1|Training,Non-autophagy protein,95.65%
3004,|1|Training,Non-autophagy protein,96.03%
3005,|1|Training,Autophagy Protein,54.45%
3006,|1|Training,Non-autophagy protein,50.61%
3007,|1|Training,Non-autophagy protein,97.80%
3008,|1|Training,Non-autophagy protein,89.54%
3009,|1|Training,Non-autophagy protein,91.62%
3010,|1|Training,Non-autophagy protein,98.31%
3011,|1|Training,Non-autophagy protein,98.82%
3012,|1|Training,Non-autophagy protein,96.66%
3013,|1|Training,Non-autophagy protein,97.59%
3014,|1|Training,Non-autophagy protein,97.67%
3015,|1|Training,Non-autophagy protein,50.65%
3016,|1|Training,Non-autophagy protein,70.71%
3017,|1|Training,Autophagy Protein,69.09%
3018,|1|Training,Autophagy Protein,92.59%
3019,|1|Training,Non-autophagy protein,97.11%
3020,|1|Training,Autophagy Protein,89.82%
3021,|1|Training,Non-autophagy protein,97.26%
3022,|1|Training,Non-autophagy protein,90.55%
3023,|1|Training,Non-autophagy protein,95.01%
3024,|1|Training,Non-autophagy protein,94.58%
3025,|1|Training,Non-autophagy protein,90.11%
3026,|1|Training,Non-autophagy protein,99.32%
3027,|1|Training,Non-autophagy protein,99.67%
3028,|1|Training,Non-autophagy protein,99.76%
3029,|1|Training,Non-autophagy protein,99.26%
3030,|1|Training,Non-autophagy protein,99.74%
3031,|1|Training,Non-autophagy protein,92.31%
3032,|1|Training,Non-autophagy protein,92.78%
3033,|1|Training,Non-autophagy protein,99.46%
3034,|1|Training,Non-autophagy protein,98.12%
3035,|1|Training,Non-autophagy protein,97.41%
